flight_id,callsign,number,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump,flight_date,flight_year,flight_month,flight_day,year_month,problem_category,diverted_airport,diverted_flag,fueldump_flag
MSR759_20180601,MSR759,MS759,010162,SU-GED,B738,HECA,EPWA,EKCH,EPWA,technical,diverted,unknown,,,,,2018-06-01,2018,6,1,2018-06,technical_systems,EPWA,True,False
CSJ726_20180602,CSJ726,,ad627d,N9612B,C208,CYHM,,KCAK,,,,,,,,,2018-06-02,2018,6,2,2018-06,unspecified,,False,False
AAL213_20180603,AAL213,AA213,a15aba,N187AN,B752,KMIA,,SBBR,,,,,,,,,2018-06-03,2018,6,3,2018-06,unspecified,,False,False
AAL1897_20180603,AAL1897,AA1897,aaf83c,N806AW,A319,KSAT,KELP,KPHX,KELP,weather_damage,diverted,hold_to_reduce,4b97224e,weather_damage,diverted,hold_to_reduce,2018-06-03,2018,6,3,2018-06,weather_turbulence,KELP,True,True
JBU232_20180604,JBU232,B6232,a732d9,N563JB,A320,KLGB,KSLC,KSLC,,,,,,,,,2018-06-04,2018,6,4,2018-06,unspecified,,False,False
AAL213_20180605,AAL213,AA213,a3deca,N349AN,B763,KMIA,,SBBR,,,,,,,,,2018-06-05,2018,6,5,2018-06,unspecified,,False,False
DLH1425_20180605,DLH1425,LH1425,3c5463,D-AECC,E190,LATI,LOWG,EDDF,LOWG,medical,diverted,unknown,,,,,2018-06-05,2018,6,5,2018-06,medical_emergency,LOWG,True,False
LOT4VM_20180605,LOT4VM,LO408,4a09ae,YR-BMN,B738,EDDL,EPWA,EPWA,,medical,planned,unknown,,,,,2018-06-05,2018,6,5,2018-06,medical_emergency,,False,False
WOW9625_20180605,WOW9625,WW9625,4cc4e1,TF-SON,A321,EINN,BIKF,BIKF,,,,,,,,,2018-06-05,2018,6,5,2018-06,unspecified,,False,False
AAL2237_20180606,AAL2237,AA2237,a0a2bd,N140AN,A321,KDCA,KDFW,KDFW,,,,,,,,,2018-06-06,2018,6,6,2018-06,unspecified,,False,False
PTA12P_20180606,PTA12P,,4d2144,9H-PIK,C550,,LKKV,,,unclear,unclear,unknown,,,,,2018-06-06,2018,6,6,2018-06,unconfirmed_emergency,,False,False
NAX7075_20180606,NAX7075,DY7075,4950d8,CS-TFX,A345,LEBL,LEBL,KOAK,LEBL,unclear,return,unknown,,,,,2018-06-06,2018,6,6,2018-06,unconfirmed_emergency,LEBL,True,False
AAL2057_20180606,AAL2057,AA2057,a7101e,N554UW,A321,KLAX,,KCLT,,,,,,,,,2018-06-06,2018,6,6,2018-06,unspecified,,False,False
ACA832_20180610,ACA832,AC832,c0583f,C-GHKW,A333,CYUL,,EBBR,,,,,,,,,2018-06-10,2018,6,10,2018-06,unspecified,,False,False
TVF71AT_20180610,TVF71AT,TO3100,3964e3,F-GZHD,B738,LFPO,LFPO,LEZL,LFPO,unclear,return,unknown,,,,,2018-06-10,2018,6,10,2018-06,unconfirmed_emergency,LFPO,True,False
SKU502_20180613,SKU502,H2502,e80321,CC-AID,A319,SAEZ,,SCEL,,,,,,,,,2018-06-13,2018,6,13,2018-06,unspecified,,False,False
AFR228_20180614,AFR228,AF228,3949f2,F-GSPS,B772,LFPG,LFPG,SAEZ,LFPG,technical,return,unknown,,,,,2018-06-14,2018,6,14,2018-06,technical_systems,LFPG,True,False
